id,app,category,helpful_votes
1,Fieldkit,field research,37
2,Fieldkit,field research,12
3,Lookback,user research,21
4,Dovetail,research repository,38
5,Fieldkit,field research,5
6,Lookback,user research,14
7,Fieldkit,field research,23
8,Maze,usability testing,34
9,Dovetail,research repository,2
10,Miro,collaborative whiteboard,45
11,Miro,collaborative whiteboard,34
12,Lookback,user research,5
13,Fieldkit,field research,27
14,Miro,collaborative whiteboard,46
15,Lookback,user research,0
16,Maze,usability testing,40
17,Lookback,user research,33
18,Lookback,user research,15
19,Lookback,user research,8
20,Miro,collaborative whiteboard,27
21,Lookback,user research,42
22,Miro,collaborative whiteboard,37
23,Lookback,user research,3
24,Fieldkit,field research,34
25,Lookback,user research,6
26,Miro,collaborative whiteboard,43
27,Fieldkit,field research,8
28,Maze,usability testing,6
29,Lookback,user research,25
30,Dovetail,research repository,18
31,Lookback,user research,47
32,Maze,usability testing,10
33,Lookback,user research,15
34,Lookback,user research,39
35,Lookback,user research,16
36,Maze,usability testing,4
37,Lookback,user research,15
38,Dovetail,research repository,33
39,Lookback,user research,16
40,Fieldkit,field research,43
41,Maze,usability testing,0
42,Dovetail,research repository,45
43,Fieldkit,field research,9
44,Fieldkit,field research,43
45,Fieldkit,field research,15
46,Dovetail,research repository,26
47,Dovetail,research repository,24
48,Miro,collaborative whiteboard,19
49,Dovetail,research repository,25
50,Fieldkit,field research,43
51,Lookback,user research,11
52,Maze,usability testing,32
53,Lookback,user research,0
54,Lookback,user research,20
55,Fieldkit,field research,44
56,Dovetail,research repository,43
57,Dovetail,research repository,19
58,Miro,collaborative whiteboard,43
59,Miro,collaborative whiteboard,32
60,Lookback,user research,12
61,Fieldkit,field research,4
62,Lookback,user research,31
63,Dovetail,research repository,11
64,Lookback,user research,29
65,Miro,collaborative whiteboard,27
66,Lookback,user research,40
67,Lookback,user research,15
68,Maze,usability testing,4
69,Maze,usability testing,44
70,Lookback,user research,47
71,Lookback,user research,21
72,Miro,collaborative whiteboard,34
73,Miro,collaborative whiteboard,11
74,Miro,collaborative whiteboard,16
75,Miro,collaborative whiteboard,14
76,Fieldkit,field research,9
77,Miro,collaborative whiteboard,23
78,Lookback,user research,19
79,Fieldkit,field research,37
80,Dovetail,research repository,2
81,Miro,collaborative whiteboard,26
82,Fieldkit,field research,11
83,Maze,usability testing,17
84,Dovetail,research repository,29
85,Miro,collaborative whiteboard,21
86,Lookback,user research,46
87,Lookback,user research,28
88,Fieldkit,field research,35
89,Miro,collaborative whiteboard,16
90,Dovetail,research repository,12
91,Miro,collaborative whiteboard,12
92,Maze,usability testing,8
93,Fieldkit,field research,6
94,Lookback,user research,7
95,Miro,collaborative whiteboard,15
96,Miro,collaborative whiteboard,28
97,Lookback,user research,47
98,Dovetail,research repository,10
99,Miro,collaborative whiteboard,4
100,Maze,usability testing,27
101,Dovetail,research repository,47
102,Maze,usability testing,32
103,Miro,collaborative whiteboard,16
104,Dovetail,research repository,43
105,Lookback,user research,17
106,Lookback,user research,22
107,Maze,usability testing,42
108,Lookback,user research,0
109,Lookback,user research,31
110,Fieldkit,field research,18
111,Miro,collaborative whiteboard,35
112,Miro,collaborative whiteboard,9
113,Maze,usability testing,15
114,Dovetail,research repository,4
115,Miro,collaborative whiteboard,37
116,Miro,collaborative whiteboard,35
117,Miro,collaborative whiteboard,36
118,Miro,collaborative whiteboard,41
119,Miro,collaborative whiteboard,6
120,Miro,collaborative whiteboard,41
121,Fieldkit,field research,41
122,Maze,usability testing,2
123,Dovetail,research repository,6
124,Fieldkit,field research,20
125,Maze,usability testing,11
126,Fieldkit,field research,37
127,Miro,collaborative whiteboard,18
128,Dovetail,research repository,19
129,Miro,collaborative whiteboard,44
130,Miro,collaborative whiteboard,18
131,Dovetail,research repository,16
132,Dovetail,research repository,23
133,Fieldkit,field research,33
134,Maze,usability testing,47
135,Fieldkit,field research,43
136,Miro,collaborative whiteboard,34
137,Maze,usability testing,23
138,Dovetail,research repository,4
139,Miro,collaborative whiteboard,31
140,Dovetail,research repository,47
141,Lookback,user research,6
142,Lookback,user research,28
143,Dovetail,research repository,22
144,Maze,usability testing,5
145,Lookback,user research,4
146,Lookback,user research,21
147,Lookback,user research,7
148,Fieldkit,field research,11
149,Dovetail,research repository,28
150,Lookback,user research,33
151,Fieldkit,field research,31
152,Miro,collaborative whiteboard,8
153,Lookback,user research,18
154,Lookback,user research,35
155,Dovetail,research repository,46
156,Miro,collaborative whiteboard,4
157,Fieldkit,field research,3
158,Lookback,user research,27
159,Fieldkit,field research,9
160,Dovetail,research repository,27
161,Lookback,user research,11
162,Maze,usability testing,25
163,Fieldkit,field research,21
164,Maze,usability testing,9
165,Lookback,user research,31
166,Miro,collaborative whiteboard,43
167,Miro,collaborative whiteboard,13
