name,alt_name,ref_names,ra,ra_error,ref_ra,dec,dec_error,ref_dec,pm_ra,pm_ra_error,ref_pm_ra,pm_dec,pm_dec_error,ref_pm_dec,parallax,parallax_error,ref_parallax,position_epoch,lii,bii,period,period_error,ref_period,period_dot,period_dot_error,ref_period_dot,nu,nu_error,ref_nu,nu_dot,nu_dot_error,ref_nu_dot,nu_dot_2,nu_dot_2_error,ref_nu_dot_2,nu_dot_3,nu_dot_3_error,ref_nu_dot_3,period_epoch,dm,dm_error,ref_dm,dm_dot,dm_dot_error,ref_dm_dot,rm,rm_error,ref_rm,pulse_width_50,ref_pulse_width_50,pulse_width_10,ref_pulse_width_10,tau_scattering,ref_tau_scattering,flux_400_mhz,flux_400_mhz_error,ref_flux_400_mhz,flux_1400_mhz,flux_1400_mhz_error,ref_flux_1400_mhz,flux_2000_mhz,flux_2000_mhz_error,ref_flux_2000_mhz,flux_600_mhz,flux_600_mhz_error,ref_flux_600_mhz,flux_700_mhz,flux_700_mhz_error,ref_flux_700_mhz,flux_800_mhz,flux_800_mhz_error,ref_flux_800_mhz,flux_900_mhz,flux_900_mhz_error,ref_flux_900_mhz,flux_1600_mhz,flux_1600_mhz_error,ref_flux_1600_mhz,flux_3000_mhz,flux_3000_mhz_error,ref_flux_3000_mhz,spect_index,spect_index_error,ref_spect_index,binary_model,t0,t0_error,ref_t0,period_bin,period_bin_error,ref_period_bin,a1,a1_error,ref_a1,omega,omega_error,ref_omega,eccentricity,eccentricity_error,ref_eccentricity,epoch_asc,epoch_asc_error,ref_epoch_asc,epsilon_1,epsilon_1_error,ref_epsilon_1,epsilon_2,epsilon_2_error,ref_epsilon_2,min_mass,median_mass,companion_type,ref_companion_type,mass_ratio,mass_ratio_error,ref_mass_ratio,omega_asc,omega_asc_error,ref_omega_asc,distance,dm_distance_limit,dm_distance,dm_sin_bii,z_distance,x_distance,y_distance,assoc_object,discovery_survey,discovery_date,pulsar_type,ref_pulsar_type,number_glitches,luminosity_400_mhz,luminosity_1400_mhz,age,b_surf,e_dot,e_dot_d2,pm_tot,pm_tot_error,transverse_velocity,corr_period_dot,corr_age,corr_b_surf,b_lc,class
PSR J1036-8317,,ckr+15,159.16912854,1.3e-07,sbf+24,-83.29892788,1.1e-08,sbf+24,-11.35,0.06,,2.86,0.06,,,,,59187,298.94276656,-21.49738977,0.003408,0,ckr+15,,,,293.427230,0,ckr+15,,,,,,,,,,56657,27.0927,0.0002,sbm+22,,,,12.9,0.2,sbm+22,,,,,,,,,,0.45,0.02,sbm+22,,,,,,,,,,,,,,,,,,,,,,,,,BT,,,,0.335,0,ckr+15,0.506,0,ckr+15,,,,,,,,,,,,,,,,0.140141,0.163509,,,,,,,,,0.935,,0.935,-9.93,-0.343,-0.761,8.079,GRS:4FGL_J1036.5-8318[aab+22],FermiAssoc,2015,HE,ckr+15,,,0.39,,,,,11.7,0.06,51.88,-1.06e-21,-50900000000,,,1810
PSR J0211-8159,,lml+98,32.99583333,0.0013,dsb+98,-81.99338889,8.3e-05,dsb+98,,,,,,,,,,59400,299.59212774,-34.60571045,3.23199877567,5e-11,kjk+24,7.14e-16,1.7e-17,kjk+24,0.309406057802,4e-12,kjk+24,-6.84e-17,1.6e-18,kjk+24,,,,,,,59400,24.36,0.03,dsb+98,,,,31.01,0.05,kjk+24,42,pkj+21,129,pkj+21,,,6,,lml+98,0.3,0.1,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.656,,1.656,-13.83,-0.94,-1.185,7.827,,"pks70,misc",1998,R,,,16.45,0.82,71700000,1540000000000,8.4e+29,3e+29,,0,,,,,0.427,1800
PSR J1900-7951,PSR B1851-79,mlt+78,285.10166667,0.0021,nmc81,-79.86338889,0.00033,nmc81,,,,,,,,,,43565.14,314.32196068,-27.0645733,1.2791931935,6e-10,nmc81,1.86e-15,3e-17,nmc81,0.7817427462,4e-10,nmc81,-1.137e-15,1.9e-17,nmc81,,,,,,,43565.1375,39,5,nmc81,,,,19,6,hmvd18,30,qmlg95,85,qmlg95,,,6.5,,tml93,0.946,0.012,xwh+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.375,,2.375,-17.74,-1.081,-1.513,7.022,,mol2,1978,R,,,36.66,5.34,10900000,1560000000000,3.5e+31,6.2e+30,,0,,,,,6.99,1800
PSR J1119-7936,PSR B1118-79,mlt+78,169.91659154,5e-05,kjk+24,-79.60826424,8.3e-06,kjk+24,,,,,,,,,,59400,298.70395876,-17.4978548,2.280602264562,4e-12,kjk+24,3.6825e-15,3e-19,kjk+24,0.4384806660675,7e-13,kjk+24,-7.0801e-16,4e-20,kjk+24,,,,,,,59400,26.379,0.018,kjk+24,,,,-11.03,0.07,kjk+24,40,pkj+21,51,pkj+21,,,7,,tml93,0.7,0.1,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.771,,0.771,-7.93,-0.232,-0.645,8.147,,"mol2,misc",1978,R,,,4.16,0.42,9810000,2930000000000,1.2e+31,2.1e+31,,0,,,,,2.32,1800
PSR J1057-7914,PSR B1056-78,mlt+78,164.36335261,0.00018,kjk+24,-79.23988087,3.1e-05,kjk+24,,,,,,,,,,59400,297.5707198,-17.57404499,1.347404003436,6e-12,kjk+24,1.3297e-15,6e-19,kjk+24,0.742167900236,3e-12,kjk+24,-7.324e-16,3e-19,kjk+24,,,,,,,59400,51.55,0.03,kjk+24,,,,-18.35,0.12,kjk+24,24,pkj+21,42,pkj+21,,,6.5,,tml93,0.6,0.1,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.453,,1.453,-15.56,-0.439,-1.228,7.859,,"mol2,misc,pks70",1978,R,,,13.72,1.27,16100000,1350000000000,2.1e+31,1e+31,,0,,,,,5.19,1800
PSR J1159-7910,,lml+98,179.89843085,2.8e-05,kjk+24,-79.1684012,5.8e-06,kjk+24,,,,,,,,,,59400,300.41175857,-16.55117844,0.52507664814458,1.4e-13,kjk+24,2.81335e-15,9e-20,kjk+24,1.9044838568495,5e-13,kjk+24,-1.02042e-14,3e-19,kjk+24,,,,,,,59400,59.345,0.012,kjk+24,,,,-6.3,0.4,kjk+24,12,pkj+21,20,pkj+21,,,6,,lml+98,0.7,0.2,jvk+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.609,,1.609,-16.91,-0.458,-1.33,7.719,,"pks70,misc,pkssw",1998,R,,,15.53,1.81,2960000,1230000000000,7.7e+32,3e+32,,0,,,,,79.6,1800
PSR J1841-7845,,jbo+09,280.35791667,0.0017,jbo+09,-78.75416667,0.0011,jbo+09,,,,,,,,,,53150,315.46028358,-26.08175271,0.3536025329,4e-10,jbo+09,1.6e-16,7e-17,jbo+09,2.828034041,4e-09,jbo+09,-1.3e-15,6e-16,jbo+09,,,,,,,53150,41,2,jbo+09,,,,,,,22,pkj+21,41.4,jbo+09,,,,,,0.4,0.1,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.459,,2.459,-18.03,-1.081,-1.549,6.926,,pkssw,2009,R,,,,2.42,35000000,241000000000,1.4e+32,2.4e+31,,0,,,,,51,1800
PSR J1403-7646,,lml+98,210.7666081,7.9e-05,kjk+24,-76.78246621,2.1e-05,kjk+24,,,,,,,,,,59400,307.09609462,-14.49335265,1.306198850694,3e-12,kjk+24,1.19671e-15,1.8e-19,kjk+24,0.7655802173375,1.2e-12,kjk+24,-7.0141e-16,1e-19,kjk+24,,,,,,,59400,101.09,0.05,kjk+24,,,,65.7,0.3,kjk+24,17,pkj+21,69,pkj+21,,,4,,lml+98,0.8,0.2,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.396,,5.396,-25.3,-1.35,-4.167,5.349,,"pks70,misc,pkssw",1998,R,,,116.47,23.29,17300000,1270000000000,2.1e+31,7.3e+29,,0,,,,,5.32,1800
PSR J1651-7642,,jbo+09,252.78270965,0.00014,kjk+24,-76.71112698,4.4e-05,kjk+24,,,,,,,,,,59400,315.14885448,-19.9530617,1.755311859075,1e-11,kjk+24,1.36e-15,1e-18,kjk+24,0.569699335665,3e-12,kjk+24,-4.414e-16,3e-19,kjk+24,,,,,,,59400,59.85,0.1,kjk+24,,,,25.8,0.3,kjk+24,84,pkj+21,105,pkj+21,,,,,,0.7,0.1,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.358,,3.358,-20.42,-1.146,-2.226,6.262,,"pkssw,misc",2009,R,,,,7.89,20400000,1560000000000,9.9e+30,8.8e+29,,0,,,,,2.71,1800
PSR J1744-7619,,cpw+18,266.00203333,8.3e-06,cpw+18,-76.32075278,2.5e-06,cpw+18,-21,3,cpw+18,-7,3,cpw+18,,,,55716,317.10774147,-22.45856793,0.0046875240948954,1.1e-15,cpw+18,9.679e-21,1.8e-23,cpw+18,213.33223675351,5e-11,cpw+18,-4.405e-16,8e-19,cpw+18,,,,,,,55716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0,-0,8.5,GRS:4FGL_J1744.0-7618[aab+22],FermiBlind,2018,NRAD,cpw+18,,,,7670000000,216000000,3.7e+33,,22,3,,,,,19600,2900
PSR J0401-7608,PSR B0403-76,mlt+78,60.465625,4.2e-05,lbs+20,-76.13693056,1.4e-05,lbs+20,,,,,,,,,,57600,290.31277941,-35.90726113,0.545254426955,1.2e-11,kjk+24,1.5438e-15,1.2e-19,kjk+24,1.83400620071,4e-11,kjk+24,-5.1927e-15,4e-19,lbs+20,,,,,,,59400,21.747,0.01,kjk+24,,,,24.31,0.09,kjk+24,21,pkj+21,27,pkj+21,,,19,,tml93,3.8,0.8,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014,,1.014,-12.75,-0.595,-0.77,8.215,,"mol2,misc,pks70",1978,R,,,19.54,3.91,5600000,928000000000,3.8e+32,3.7e+32,,0,,,,,53.7,1800
PSR J0536-7543,PSR B0538-75,mlt+78,84.12841667,4.2e-05,jbv+19,-75.7317658,1.1e-05,kjk+24,3,40,jbv+19,65,8,jbv+19,,,,59400,287.16094818,-30.82090974,1.245856241689,3e-12,kjk+24,5.754e-16,1.8e-19,kjk+24,0.8026608259746,1.4e-12,kjk+24,-3.7071e-16,1.1e-19,kjk+24,,,,,,,59400,18.58,0.02,pkj+13,,,,25.91,0.01,kjk+24,60,pkj+21,95,pkj+21,,,75,,tml93,8.7,0.01,jpm+22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,0.143,-9.52,-0.073,-0.117,8.464,,"mol2,misc,pks70",1978,R,,,1.53,0.18,34300000,857000000000,1.2e+31,5.7e+32,65,9,44.11,5.74e-16,34400000,855000000000,4.15,1800
PSR J1708-7539,PSR B1701-75,mlt+78,257.01041667,0.0021,nmc81,-75.65638889,0.00083,nmc81,,,,,,,,,,43565.1,316.67642873,-20.22079566,1.1910239966,8e-10,nmc81,1.88e-15,4e-17,nmc81,0.8396136458,6e-10,nmc81,-1.33e-15,3e-17,nmc81,,,,,,,43565.1011,37,5,nmc81,,,,40,6,hmvd18,25,tml93,45,tml93,,,2.5,,tml93,0.747,0.013,xwh+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.322,,1.322,-12.79,-0.457,-0.851,7.598,,"mol2,pkssw",1978,R,,,4.37,1.31,10000000,1510000000000,4.4e+31,2.5e+31,,0,,,,,8.4,1800
PSR J0904-7459,PSR B0904-74,mlt+78,136.04373645,2.8e-05,kjk+24,-74.99516208,7.8e-06,kjk+24,,,,,,,,,,59400,289.73809147,-18.31982049,0.5495537591153,1e-12,kjk+24,4.6213e-16,5e-20,kjk+24,1.819658192512,3e-12,kjk+24,-1.5302e-15,1.4e-19,kjk+24,,,,,,,59400,49.202,0.014,kjk+24,,,,6.94,0.13,kjk+24,18,pkj+21,30,pkj+21,,,11,,tml93,2,0.7,jvk+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962,,0.962,-15.47,-0.302,-0.86,8.192,,"mol2,misc,pks70",1978,R,,,10.18,1.85,18800000,510000000000,1.1e+32,1.2e+32,,0,,,,,28.8,1800
PSR J1251-7407,,bbb+12,192.97058333,4.2e-05,bbb+12,-74.12084444,2.5e-05,bbb+12,,,,,,,,,,55332,302.96291221,-11.24912244,0.32705773823,2e-11,bbb+12,3.651e-16,8e-19,bbb+12,3.05756410294,1.9e-10,bbb+12,-3.413e-15,8e-18,bbb+12,,,,,,,55332,89.81,0.05,bbb+12,,,,-121,9,tjb+13,3.2,pkj+21,9.9,pkj+21,,,,,,0.2,,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,1.86,-17.52,-0.363,-1.531,7.507,,htru_pks,2012,R,,,,0.69,14200000,350000000000,4.1e+32,1.2e+32,,0,,,,,93.7,1800
PSR J1410-7404,,eb01b,212.53049341,4.1e-06,kjk+24,-74.08149527,1.3e-06,kjk+24,,,,,,,,,,59400,308.34882539,-12.04304395,0.27872945261415,5e-14,kjk+24,6.798e-18,1.5e-20,kjk+24,3.5877084054849,6e-13,kjk+24,-8.75e-17,1.9e-19,kjk+24,,,,,,,59400,54.2312,0.0013,kjk+24,,,,-5,0.3,kjk+24,1.4,pkj+21,3.3,pkj+21,,,,,,1.2,0.2,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.335,,1.335,-11.32,-0.279,-1.024,7.69,,"pkssw,htru_pks,misc",2001,R,,,,2.14,650000000,44000000000,1.2e+31,7e+30,,0,,,,,19.1,1800
PSR J1846-7403,,jbo+09,281.55741667,0.00071,jbo+09,-74.05111111,0.00056,jbo+09,,,,,,,,,,53000,320.67441859,-25.65013399,4.8788385261,5e-10,jbo+09,6.06e-15,1e-16,jbo+09,0.20496681631,3e-11,jbo+09,-2.55e-16,5e-18,jbo+09,,,,,,,53000,97,20,jbo+09,,,,,,,609.9,jk18,731.4,jbo+09,,,,,,2.9,0.6,jk18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,-41.99,-10.822,-14.282,-8.933,,pkssw,2009,R,,,,1812.5,12800000,5500000000000,2.1e+30,3.3e+27,,0,,,,,0.444,1800
PSR J0040-7337,,cls+24,10.19458333,0.0025,cab+24,-73.61869444,0.00056,cls+24,,,,,,,,,,59942,303.96751999,-43.48811623,0.05988856188,1.5e-10,cab+24,3.4041e-14,4e-18,cab+24,16.69767930,4e-08,cab+24,-9.491e-12,9e-16,cab+24,4.9e-22,1.8e-22,cab+24,,,,59942,101.79,0.04,cab+24,,,,,,,0.87,cab+24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.717,,58.717,-70.05,-40.409,-35.331,-15.302,"EXGAL:SMC,SNR:DEM_S5[cls+24],PWN:DEM_S5[cab+24]",meerkat_trapum,2024,R,,1,,,27900,1440000000000,6.3e+36,1.8e+33,,0,,,,,63100,1800
PSR J0040-7335,,cls+24,10.22745833,0.00012,cab+24,-73.59822222,2.2e-05,cab+24,,,,,,,,,,59692.1,303.95635116,-43.50908148,0.1452182310501,1.5e-12,cab+24,2.38526e-14,5e-19,cab+24,6.88618772429,7e-11,cab+24,-1.13108e-12,2e-17,cab+24,,,,,,,59692.1,198.27,0.06,cab+24,,,,,,,2,cab+24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.176,,61.176,-136.5,-42.118,-36.802,-16.283,EXGAL:SMC,meerkat_trapum,2024,R,,1,,,96500,1880000000000,3.1e+35,8.2e+31,,0,,,,,5770,1800
